Story ID,Story Name,Status,Assigned To,PR URL,Notes
US-FFT-001,Airbnb revenue node and main connection,Todo,,,
US-FFT-002,Freelance income node,Todo,,,
US-FFT-003,Rent expense node,Todo,,,
US-FFT-004,Dynamic final edge color by net value,Todo,,,
US-FFT-005,Editable node values,Todo,,,
US-FFT-006,Main status box calculation,Todo,,,
US-FFT-007,Save and load flow state,Todo,,,
US-FFT-008,Main box contribution breakdown panel,Todo,,,
US-FFT-009,Delete nodes and connections,Todo,,,
US-FFT-010,Custom node labels,Todo,,,
